NAME,year,month,fire_count,avg_frp
Alameda,2015,1,8,0.5075000000000001
Alameda,2015,2,6,0.455
Alameda,2015,3,11,0.9218181818181819
Alameda,2015,4,12,0.6108333333333333
Alameda,2015,5,10,12.705
Alameda,2015,6,9,0.44555555555555554
Alameda,2015,7,10,15.398000000000001
Alameda,2015,8,36,2.1683333333333334
Alameda,2015,9,12,0.41
Alameda,2015,10,9,0.5055555555555555
Alameda,2015,11,7,2.2114285714285713
Alameda,2015,12,3,0.68
Alameda,2016,2,6,0.6016666666666667
Alameda,2016,3,6,1.3133333333333332
Alameda,2016,4,5,0.5740000000000001
Alameda,2016,5,3,0.52
Alameda,2016,6,15,1.5306666666666666
Alameda,2016,7,22,5.954090909090908
Alameda,2016,8,9,0.5022222222222221
Alameda,2016,9,14,0.5042857142857143
Alameda,2016,10,8,0.6174999999999999
Alameda,2016,11,5,0.678
Alameda,2016,12,4,0.7125
Alameda,2017,1,2,0.505
Alameda,2017,2,3,0.6233333333333334
Alameda,2017,3,11,0.5181818181818182
Alameda,2017,4,7,1.9
Alameda,2017,5,16,0.40375
Alameda,2017,6,15,1.6006666666666667
Alameda,2017,7,35,0.776
Alameda,2017,8,33,7.253636363636364
Alameda,2017,9,21,0.7571428571428571
Alameda,2017,10,21,0.5138095238095238
Alameda,2017,11,3,0.37333333333333335
Alameda,2017,12,7,0.7757142857142857
Alameda,2018,1,1,0.64
Alameda,2018,2,12,0.8275
Alameda,2018,3,14,0.5342857142857144
Alameda,2018,4,11,0.6354545454545455
Alameda,2018,5,17,9.26764705882353
Alameda,2018,6,13,0.4123076923076923
Alameda,2018,7,28,1.9639285714285715
Alameda,2018,8,20,0.4445
Alameda,2018,9,29,0.8124137931034482
Alameda,2018,10,26,0.5123076923076924
Alameda,2018,11,10,0.45
Alameda,2018,12,3,0.43
Alameda,2019,1,7,2.5271428571428567
Alameda,2019,2,4,0.4775
Alameda,2019,3,6,0.5216666666666666
Alameda,2019,4,10,0.641
Alameda,2019,5,6,0.38166666666666665
Alameda,2019,6,17,3.385294117647059
Alameda,2019,7,20,3.5375
Alameda,2019,8,19,24.968421052631577
Alameda,2019,9,21,0.7028571428571428
Alameda,2019,10,21,1.7014285714285713
Alameda,2019,11,3,0.4033333333333333
Alameda,2020,1,3,0.6133333333333333
Alameda,2020,2,5,0.532
Alameda,2020,3,3,0.6966666666666667
Alameda,2020,4,10,15.771999999999997
Alameda,2020,5,8,0.50875
Alameda,2020,6,11,1.1581818181818182
Alameda,2020,7,19,3.3473684210526318
Alameda,2020,8,981,14.061926605504587
Alameda,2020,9,13,16.959230769230768
Alameda,2020,10,13,0.47692307692307695
Alameda,2020,11,12,0.8291666666666666
Alameda,2020,12,3,0.44
Alpine,2015,6,810,21.761814814814816
Alpine,2016,5,1,3.66
Alpine,2016,8,62,24.990161290322582
Alpine,2016,9,19,5.987894736842105
Alpine,2017,3,1,8.7
Alpine,2017,8,131,11.090152671755725
Alpine,2017,9,189,9.044497354497356
Alpine,2018,8,1864,8.509833690987124
Alpine,2018,9,33,2.455757575757576
Alpine,2018,11,2,0.845
Alpine,2019,6,6,4.19
Alpine,2019,7,10,13.732
Alpine,2019,8,1,0.55
Alpine,2019,9,9,6.1066666666666665
Alpine,2020,7,2,1.325
Alpine,2020,8,54,29.404999999999998
Alpine,2020,9,1283,21.246071706936867
Alpine,2020,10,3,1.17
Amador,2015,1,7,8.354285714285714
Amador,2015,3,16,6.408125
Amador,2015,4,1,9.1
Amador,2015,9,108,15.861018518518518
Amador,2015,10,20,6.0024999999999995
Amador,2015,11,13,8.423076923076923
Amador,2015,12,3,4.576666666666667
Amador,2016,2,4,4.0875
Amador,2016,3,1,2.87
Amador,2016,4,2,3.85
Amador,2016,7,4,15.31
Amador,2016,9,3,26.51
Amador,2016,10,29,7.589310344827586
Amador,2016,11,5,2.496
Amador,2017,3,8,12.24375
Amador,2017,4,1,0.3
Amador,2017,5,16,6.3575
Amador,2017,6,3,15.063333333333333
Amador,2017,7,1,6.55
Amador,2017,10,1,0.76
Amador,2017,11,8,4.23625
Amador,2017,12,1,2.07
Amador,2018,1,4,1.62
Amador,2018,2,5,3.526
Amador,2018,3,5,3.582
Amador,2018,4,8,17.76875
Amador,2018,5,3,7.87
Amador,2018,6,1,12.46
Amador,2018,7,2,1.29
Amador,2018,11,1,0.87
Amador,2018,12,8,4.275
Amador,2019,1,12,6.324166666666667
Amador,2019,2,2,6.07
Amador,2019,3,8,5.9375
Amador,2019,4,4,7.1
Amador,2019,5,1,4.29
Amador,2019,7,2,4.0
Amador,2019,9,1,1.73
Amador,2019,11,4,9.5975
Amador,2019,12,8,5.05875
Amador,2020,1,4,3.8325
Amador,2020,2,10,3.78
Amador,2020,4,8,8.668750000000001
Amador,2020,9,4,8.235
Amador,2020,10,2,13.765
Amador,2020,12,3,18.233333333333334
Butte,2015,1,5,2.502
Butte,2015,2,11,5.506363636363637
Butte,2015,3,42,8.418809523809523
Butte,2015,4,25,9.7668
Butte,2015,5,12,8.104166666666666
Butte,2015,6,3,15.706666666666669
Butte,2015,7,15,26.100666666666665
Butte,2015,8,11,6.3536363636363635
Butte,2015,9,57,45.47
Butte,2015,10,48,10.131666666666666
Butte,2015,11,27,8.514444444444443
Butte,2015,12,5,3.8
Butte,2016,1,2,1.195
Butte,2016,2,18,4.978888888888889
Butte,2016,3,8,2.4074999999999998
Butte,2016,4,44,6.339772727272727
Butte,2016,5,8,6.48375
Butte,2016,6,6,8.4
Butte,2016,7,24,8.84
Butte,2016,8,22,9.846363636363636
Butte,2016,9,52,6.533461538461538
Butte,2016,10,15,4.862666666666667
Butte,2016,11,23,7.6378260869565215
Butte,2016,12,1,2.07
Butte,2017,3,3,0.6733333333333333
Butte,2017,4,10,7.462000000000001
Butte,2017,5,23,11.33304347826087
Butte,2017,6,8,4.75
Butte,2017,7,234,7.844358974358974
Butte,2017,8,217,15.583410138248848
Butte,2017,9,92,8.199021739130433
Butte,2017,10,302,9.122582781456954
Butte,2017,11,22,4.245909090909091
Butte,2017,12,8,2.3375
Butte,2018,1,8,2.58
Butte,2018,2,42,6.417380952380953
Butte,2018,3,6,3.5383333333333336
Butte,2018,4,30,6.4863333333333335
Butte,2018,5,13,7.1084615384615395
Butte,2018,6,26,8.152307692307692
Butte,2018,7,11,4.732727272727273
Butte,2018,8,8,7.78
Butte,2018,9,38,8.284210526315789
Butte,2018,10,105,8.164190476190477
Butte,2018,11,4660,21.715060085836907
Butte,2018,12,13,5.105384615384616
Butte,2019,1,14,4.892142857142857
Butte,2019,3,12,4.034166666666667
Butte,2019,4,20,5.618
Butte,2019,5,32,5.50625
Butte,2019,6,59,8.212881355932204
Butte,2019,7,35,7.863714285714286
Butte,2019,8,12,5.409166666666667
Butte,2019,9,56,5.898392857142857
Butte,2019,10,116,11.182586206896552
Butte,2019,11,75,7.768933333333333
Butte,2019,12,30,5.206
Butte,2020,1,5,2.962
Butte,2020,2,53,4.994716981132075
Butte,2020,3,67,7.110298507462686
Butte,2020,4,48,3.56875
Butte,2020,5,31,5.836451612903226
Butte,2020,6,16,5.950625
Butte,2020,7,13,15.553076923076922
Butte,2020,8,160,8.5085625
Butte,2020,9,3993,11.22250438266967
Butte,2020,10,73,7.643013698630138
Butte,2020,11,89,7.15629213483146
Butte,2020,12,42,6.704761904761905
Calaveras,2015,1,1,1.1
Calaveras,2015,2,1,3.2
Calaveras,2015,3,4,11.3725
Calaveras,2015,4,2,5.275
Calaveras,2015,6,1,2.08
Calaveras,2015,8,1,1.08
Calaveras,2015,9,2692,25.40375557206538
Calaveras,2015,11,2,0.8500000000000001
Calaveras,2015,12,1,1.77
Calaveras,2016,1,2,12.845
Calaveras,2016,2,2,3.6100000000000003
Calaveras,2016,3,10,4.213
Calaveras,2016,4,6,2.81
Calaveras,2016,5,5,8.443999999999999
Calaveras,2016,7,29,34.19310344827586
Calaveras,2016,8,18,76.54666666666667
Calaveras,2016,11,24,8.030833333333332
Calaveras,2016,12,8,3.15125
Calaveras,2017,1,2,1.605
Calaveras,2017,2,1,2.99
Calaveras,2017,3,27,9.367407407407407
Calaveras,2017,4,12,8.358333333333333
Calaveras,2017,5,10,5.542
Calaveras,2017,7,12,23.719166666666666
Calaveras,2017,8,1,0.84
Calaveras,2017,10,8,34.792500000000004
Calaveras,2017,11,23,1.912608695652174
Calaveras,2018,1,30,4.852333333333333
Calaveras,2018,2,27,3.4385185185185185
Calaveras,2018,3,2,3.03
Calaveras,2018,4,17,3.7423529411764704
Calaveras,2018,5,7,3.597142857142857
Calaveras,2018,6,34,2.003823529411765
Calaveras,2018,8,1,4.34
Calaveras,2018,10,18,7.723888888888889
Calaveras,2018,11,1,3.22
Calaveras,2018,12,23,3.152608695652174
Calaveras,2019,1,21,6.874761904761905
Calaveras,2019,3,1,1.89
Calaveras,2019,4,13,3.047692307692308
Calaveras,2019,5,4,3.94
Calaveras,2019,6,7,4.442857142857143
Calaveras,2019,9,2,14.490000000000002
Calaveras,2019,10,3,3.3866666666666667
Calaveras,2019,11,21,29.18047619047619
Calaveras,2019,12,11,3.411818181818182
Calaveras,2020,1,14,6.688571428571429
Calaveras,2020,2,29,4.077241379310345
Calaveras,2020,3,11,5.0636363636363635
Calaveras,2020,4,19,5.977368421052631
Calaveras,2020,5,7,4.908571428571428
Calaveras,2020,6,65,5.525384615384616
Calaveras,2020,7,5,9.065999999999999
Calaveras,2020,8,41,1.5743902439024389
Calaveras,2020,10,2,11.25
Calaveras,2020,11,5,2.604
