county_id,NAME
0,Alameda
1,Alpine
2,Amador
3,Butte
4,Calaveras
5,Colusa
6,Contra Costa
7,Del Norte
8,El Dorado
9,Fresno
10,Glenn
11,Humboldt
12,Imperial
13,Inyo
14,Kern
15,Kings
16,Lake
17,Lassen
18,Los Angeles
19,Madera
20,Marin
21,Mariposa
22,Mendocino
23,Merced
24,Modoc
25,Mono
26,Monterey
27,Napa
28,Nevada
29,Orange
30,Placer
31,Plumas
32,Riverside
33,Sacramento
34,San Benito
35,San Bernardino
36,San Diego
37,San Joaquin
38,San Luis Obispo
39,San Mateo
40,Santa Barbara
41,Santa Clara
42,Santa Cruz
43,Shasta
44,Sierra
45,Siskiyou
46,Solano
47,Sonoma
48,Stanislaus
49,Sutter
50,Tehama
51,Trinity
52,Tulare
53,Tuolumne
54,Ventura
55,Yolo
56,Yuba
