year,month,fire_count,avg_frp
2015,1,1039,5.506775745909528
2015,2,1459,6.0556751199451675
2015,3,1540,5.150311688311688
2015,4,1431,4.8982250174703
2015,5,829,4.91416164053076
2015,6,5182,27.921673099189498
2015,7,3102,18.398204384268215
2015,8,27497,11.14108229988726
2015,9,10257,15.16869065028761
2015,10,2208,7.7626358695652184
2015,11,2952,9.030562330623306
2015,12,1191,6.8393702770780855
2016,1,439,3.045740318906606
2016,2,1296,4.571373456790123
2016,3,1194,5.132587939698492
2016,4,1419,5.315778717406625
2016,5,1115,4.661946188340807
2016,6,3830,16.7126501305483
2016,7,6348,21.102849716446126
2016,8,12956,23.20038900895338
2016,9,6571,16.914288540556992
2016,10,2639,8.386794240242516
2016,11,3269,8.418268583664728
2016,12,856,5.601927570093458
2017,1,468,4.3204700854700855
2017,2,609,5.458735632183908
2017,3,1556,5.232255784061697
2017,4,1508,5.954263925729443
2017,5,1601,7.692567145534041
2017,6,2210,9.947945701357465
2017,7,15578,22.294329824110925
2017,8,18900,10.201055026455027
2017,9,18010,12.92800222098834
2017,10,14018,14.350983021829077
2017,11,2275,9.65123076923077
2017,12,11556,28.607570093457944
2018,1,1463,6.331722488038277
2018,2,2291,6.271780881711043
2018,3,1152,5.360121527777777
2018,4,1566,5.404329501915709
2018,5,1210,5.047462809917356
2018,6,2719,15.985020228025007
2018,7,23885,23.406863722001255
2018,8,45495,18.79130058248159
2018,9,9076,11.112858087263112
2018,10,3075,7.543622764227642
2018,11,9031,19.10329863802458
2018,12,1474,4.2624830393487105
2019,1,1034,5.521634429400387
2019,2,644,5.017810559006211
2019,3,1197,4.707293233082707
2019,4,1472,5.232133152173913
2019,5,1347,6.7810690423162585
2019,6,1802,7.604384017758047
2019,7,1846,7.6248374864572055
2019,8,2681,10.32580380455054
2019,9,6749,19.555670469699216
2019,10,5629,16.58046722330787
2019,11,2661,9.919263434798948
2019,12,900,4.6082222222222216
2020,1,1444,8.786114958448753
2020,2,2863,7.858480614739784
2020,3,2317,7.45563228312473
2020,4,1664,6.3766225961538465
2020,5,1455,3.901670103092784
2020,6,2480,12.597193548387096
2020,7,7150,20.519447552447552
2020,8,59374,22.405475965911005
2020,9,131793,19.432037209866987
2020,10,26973,11.690609498387277
2020,11,3338,11.430425404433793
2020,12,2039,9.590740559097597
